		Miranium costs for I/V/X/XV/XX are 100/100/100/1500/2000, unranked are just 100					Affixes already present on gear can have their ranks raised, so long as there are still enhancement slots available on the piece.																		
Overdrive Surge I	"Overdrive" activation rate +10%	1 Luminescent Antenna	1 Fine Aprica Wood	-	1 Aurorite																				
Overdrive Surge V	"Overdrive" activation rate +18%	2 Luminescent Antenna	2 Fine Aprica Wood	-	1 Infernium																				
Overdrive Surge X	"Overdrive" activation rate +28%	3 Luminescent Antenna	3 Fine Aprica Wood	-	1 Cimmerian Cinnabar																				
Overdrive Surge XV	"Overdrive" activation rate +40%	5 Luminescent Antenna	1 Orichalcum Metal	-	1 Ouroboros Crystal																				
Overdrive Surge XX	"Overdrive" activation rate +50%	8 Luminescent Antenna	2 Orichalcum Metal	-	1 Parhelion Platinum																				
Reinvigorate I	HP recovery when revived +10%	1 Reinforced Thruster	-	-	1 Arc Sand Ore																				
Reinvigorate V	HP recovery when revived +18%	2 Reinforced Thruster	-	-	1 Lionbone Bort																				
Reinvigorate X	HP recovery when revived +28%	3 Reinforced Thruster	-	-	1 Enduron Lead																				
Reinvigorate XV	HP recovery when revived +40%	4 Reinforced Thruster	-	-	1 Boiled-Egg Ore																				
Reinvigorate XX	HP recovery when revived +50%	5 Reinforced Thruster	-	-	1 Marine Rutile																				
EXP Boost I	Inner Exp +10%	1 Golden Jewel	1 Shiny Mortifole Seed	-	1 Aurorite																				
EXP Boost V	Inner Exp +18%	2 Golden Jewel	2 Shiny Mortifole Seed	-	1 Infernium																				
EXP Boost X	Inner Exp +28%	3 Golden Jewel	3 Giant Jade Pearl	-	1 Cimmerian Cinnabar																				
EXP Boost XV	Inner Exp +40%	4 Golden Jewel	4 Giant Jade Pearl	-	1 Ouroboros Crystal																				
EXP Boost XX	Inner Exp +50%	5 Golden Jewel	5 Giant Jade Pearl	-	1 Parhelion Platinum																				
Visual Cloaking I	Enemy visual detection range reduced 2%	1 White Mirrorglass	1 Glossy Saltat Fan	-	1 Aurorite																				
Visual Cloaking V	Enemy visual detection range reduced 10%	2 White Mirrorglass	2 Glossy Saltat Fan	-	1 Infernium																				
Visual Cloaking X	Enemy visual detection range reduced 20%	3 White Mirrorglass	3 Luminescent Tail	-	1 Cimmerian Cinnabar																				
Visual Cloaking XV	Enemy visual detection range reduced 30%	4 White Mirrorglass	4 Luminescent Tail	-	1 Ouroboros Crystal																				
Visual Cloaking XX	Enemy visual detection range reduced 40%	5 White Mirrorglass	5 Luminescent Tail	-	1 Parhelion Platinum																				
Aural Cloaking I	Enemy proximity detection range reduced 2%	1 Lightweight Pelt	1 Evolved Insidia Claw	-	1 Aurorite																				
Aural Cloaking V	Enemy proximity detection range reduced 10%	2 Lightweight Pelt	2 Evolved Insidia Claw	-	1 Infernium																				
Aural Cloaking X	Enemy proximity detection range reduced 20%	3 Lightweight Pelt	3 Gray Shell	-	1 Cimmerian Cinnabar																				
Aural Cloaking XV	Enemy proximity detection range reduced 30%	4 Lightweight Pelt	4 Gray Shell	-	1 Ouroboros Crystal																				
Aural Cloaking XX	Enemy proximity detection range reduced 40%	5 Lightweight Pelt	5 Gray Shell	-	1 Parhelion Platinum																				
Terrain Dmg Reducer I	Terrain dmg reduced 5%	1 Fluffy Tuft	-	-	1 Arc Sand Ore																				
Terrain Dmg Reducer V	Terrain dmg reduced 25%	2 Fluffy Tuft	-	-	1 Lionbone Bort																				
Terrain Dmg Reducer X	Terrain dmg reduced 50%	3 Fluffy Tuft	-	-	1 Enduron Lead																				
Terrain Dmg Reducer XV	Terrain dmg reduced 75%	4 Fluffy Tuft	-	-	1 Boiled-Egg Ore																				
Terrain Dmg Reducer XX	Terrain dmg reduced 100%	5 Fluffy Tuft	-	-	1 Marine Rutile																				
Antispike I	10% chance to avoid Spike dmg	1 Adsecula Oil Drop	1 Ebony Evello Egg	1 Vesper Hair Clip	1 White Cometite																				
Antispike V	18% chance to avoid Spike dmg	2 Adsecula Oil Drop	2 Ebony Evello Egg	2 Vesper Hair Clip	1 Dawnstone																				
Antispike X	28% chance to avoid Spike dmg	3 Adsecula Oil Drop	3 Lava Crystal	3 Gularthian Flint	1 Everfreeze Ore																				
Antispike XV	38% chance to avoid Spike dmg	4 Adsecula Oil Drop	4 Lava Crystal	4 Gularthian Flint	1 Foucaultium																				
Antispike XX	50% chance to avoid Spike dmg	5 Adsecula Oil Drop	5 Lava Crystal	5 Gularthian Flint	1 Bonjelium																				
Resistance Reducer I	Attacks reduce enemy debuff res by 10%	1 Grex Wisdom Tooth	1 Green Puff	-	1 Aurorite																				
Resistance Reducer V	Attacks reduce enemy debuff res by 18%	2 Grex Wisdom Tooth	2 Green Puff	-	1 Infernium																				
Resistance Reducer X	Attacks reduce enemy debuff res by 28%	8 Grex Wisdom Tooth	8 Thick Millesaur Hide	-	2 Cimmerian Cinnabar																				
Resistance Reducer XV	Attacks reduce enemy debuff res by 38%	16 Grex Wisdom Tooth	16 Thick Millesaur Hide	-	4 Ouroboros Crystal																				
Resistance Reducer XX	Attacks reduce enemy debuff res by 50%	32 Grex Wisdom Tooth	32 Thick Millesaur Hide	-	8 Parhelion Platinum																				
Treasure Sensor I	Item drop rate +1%	1 Demonic Jewel	1 Sky Jewel	1 Dull Stone	1 White Cometite																				
Treasure Sensor V	Item drop rate +5%	2 Demonic Jewel	2 Sky Jewel	2 Dull Stone	1 Dawnstone																				
Treasure Sensor X	Item drop rate +10%	8 Demonic Jewel	8 Shrad Eye	8 Decrepit Wing	2 Everfreeze Ore																				
Treasure Sensor XV	Item drop rate +15%	16 Demonic Jewel	16 Shrad Eye	16 Decrepit Wing	4 Foucaultium																				
Treasure Sensor XX	Item drop rate +20%	32 Demonic Jewel	32 Shrad Eye	32 Decrepit Wing	8 Bonjelium																				
Untouchable Dash I	Evasion +5% while sprinting	1 Terebra Water Grease	-	-	1 Arc Sand Ore																				
Untouchable Dash V	Evasion +9% while sprinting	2 Terebra Water Grease	-	-	1 Lionbone Bort																				
Untouchable Dash X	Evasion +14% while sprinting	3 Terebra Water Grease	-	-	1 Enduron Lead																				
Untouchable Dash XV	Evasion +20% while sprinting	4 Terebra Water Grease	-	-	1 Boiled-Egg Ore																				
Untouchable Dash XX	Evasion +25% while sprinting	5 Terebra Water Grease	-	-	1 Marine Rutile																				
Focused Evasion I	Evasion +5% while in enemy melee range	1 Green Mortifole Feather	1 Oc-serv Northern Crest	1 Pristine Insect Leg	1 White Cometite																				
Focused Evasion V	Evasion +9% while in enemy melee range	2 Green Mortifole Feather	2 Oc-serv Northern Crest	2 Pristine Insect Leg	1 Dawnstone																				
Focused Evasion X	Evasion +14% while in enemy melee range	4 Green Mortifole Feather	4 Dirty Cloth	4 Giant Cavity	2 Everfreeze Ore																				
Focused Evasion XV	Evasion +20% while in enemy melee range	18 Green Mortifole Feather	18 Dirty Cloth	18 Giant Cavity	6 Foucaultium																				
Focused Evasion XX	Evasion +25% while in enemy melee range	36 Green Mortifole Feather	36 Dirty Cloth	36 Giant Cavity	12 Bonjelium																				
Fog Screen	Ignores effects of Fog	1 Vibrant Plume	-	-	1 Arc Sand Ore																				
Rain Screen	Ignores effects of Rain	1 Fine Duoguill Fishmeal	-	-	1 Arc Sand Ore																				
Heavy Rain Screen	Ignores effects of Heavy Rain	1 Medicinal Blatta Oil	-	-	1 Arc Sand Ore																				
Heat Wave Screen	Ignores effects of Heat Wave	1 Worn Muscle Fiber	-	-	1 Arc Sand Ore																				
Sandstorm Screen	Ignores effects of Sandstorm	1 Alluring Papil Scales	-	-	1 Arc Sand Ore																				
Thunderstorm Screen	Ignores effects of Thunderstorm	1 Transparent Membrane	-	-	1 Arc Sand Ore																				
EM Storm Screen	Ignores effects of EM Storm	1 Slender Horn	-	-	1 Arc Sand Ore																				
Energy Mist Screen	Ignores effects of Energy Mist	1 Dried Seaweed Lichen	-	-	1 Arc Sand Ore																				
Rising Energy Mist Screen	Ignores effects of Rising Energy Mist	1 Rough Skin	-	-	1 Arc Sand Ore																				
Brimstone Rain Screen	Ignores effects of Brimstone Rain	1 Hard Backbone	-	-	1 Arc Sand Ore																				
Spore Screen	Ignores effects of Spore	1 Viscous Humor	-	-	1 Arc Sand Ore																				
Weather Master I	Dmg from weather reduced 5%	1 Blue Forfex Shell	1 Auravis Courtship Feather	-	1 Aurorite																				
Weather Master V	Dmg from weather reduced 25%	2 Blue Forfex Shell	2 Auravis Courtship Feather	-	1 Infernium																				
Weather Master X	Dmg from weather reduced 50%	3 Blue Forfex Shell	3 Blue Vigent Rock Scalp	-	1 Cimmerian Cinnabar																				
Weather Master XV	Dmg from weather reduced 75%	4 Blue Forfex Shell	4 Blue Vigent Rock Scalp	-	1 Ouroboros Crystal																				
Weather Master XX	Dmg from weather reduced 100%	5 Blue Forfex Shell	5 Blue Vigent Rock Scalp	-	1 Parhelion Platinum																				
SpecUp.M-ACC I	Skell Melee Acc +5	1 Muscled Suid Bulge	-	-	1 Arc Sand Ore																				
SpecUp.M-ACC V	Skell Melee Acc +25	2 Muscled Suid Bulge	-	-	1 Lionbone Bort																				
SpecUp.M-ACC X	Skell Melee Acc +50	3 Muscled Suid Bulge	-	-	1 Enduron Lead																				
SpecUp.M-ACC XV	Skell Melee Acc +75	4 Muscled Suid Bulge	-	-	1 Boiled-Egg Ore																				
SpecUp.M-ACC XX	Skell Melee Acc +100	5 Muscled Suid Bulge	-	-	1 Marine Rutile																				
SpecUp.R-ACC I	Skell Ranged Acc +5	1 Appetizing Suid Tail	-	-	1 Arc Sand Ore																				
SpecUp.R-ACC V	Skell Ranged Acc +25	2 Appetizing Suid Tail	-	-	1 Lionbone Bort																				
SpecUp.R-ACC X	Skell Ranged Acc +50	3 Appetizing Suid Tail	-	-	1 Enduron Lead																				
SpecUp.R-ACC XV	Skell Ranged Acc +75	4 Appetizing Suid Tail	-	-	1 Boiled-Egg Ore																				
SpecUp.R-ACC XX	Skell Ranged Acc +100	5 Appetizing Suid Tail	-	-	1 Marine Rutile																				
SpecUp.M-ATK I	Skell Melee Pow +5	1 Muscled Suid Bulge	-	-	1 Arc Sand Ore																				
SpecUp.M-ATK V	Skell Melee Pow +25	2 Muscled Suid Bulge	-	-	1 Lionbone Bort																				
SpecUp.M-ATK X	Skell Melee Pow +50	8 Blue Sylooth Braces	8 Blue Sylooth Braces	8 Muscled Cantor Bulges	2 Everfreeze Ore																							
SpecUp.M-ATK XV	Skell Melee Pow +75	16 Blue Sylooth Braces	16 Blue Sylooth Braces	16 Muscled Cantor Bulges	4 Foucaultium																						
SpecUp.M-ATK XX	Skell Melee Pow +100	32 Blue Sylooth Braces	32 Blue Sylooth Braces	32 Muscled Cantor Bulges	8 Bonjelium																						
SpecUp.R-ATK I	Skell Ranged Pow +5	1 Appetizing Suid Tail	-	-	1 Arc Sand Ore																				
SpecUp.R-ATK V	Skell Ranged Pow +25	2 Appetizing Suid Tail	-	-	1 Lionbone Bort																				
SpecUp.R-ATK X	Skell Ranged Pow +50	8 O.X. Unit	8 Eternal Arenatect Moss	8 Green Jacul Wing	2 Everfreeze Ore																				
SpecUp.R-ATK XV	Skell Ranged Pow +75	16 O.X. Unit	16 Eternal Arenatect Moss	16 Green Jacul Wing	4 Foucaultium																				
SpecUp.R-ATK XX	Skell Ranged Pow +100	32 O.X. Unit	32 Eternal Arenatect Moss	32 Green Jacul Wing	8 Bonjelium																				
SpecUp.PTL I	Skell Potential +5	1 Fleecy Fur	-	-	1 Arc Sand Ore																				
SpecUp.PTL V	Skell Potential +25	2 Fleecy Fur	-	-	1 Lionbone Bort																				
SpecUp.PTL X	Skell Potential +50	8 Distilled Sap	8 Blazing Gas Sac	8 Lepyx Moonstone	2 Everfreeze Ore																				
SpecUp.PTL XV	Skell Potential +75	16 Distilled Sap	16 Blazing Gas Sac	16 Lepyx Moonstone	4 Foucaultium																				
SpecUp.PTL XX	Skell Potential +100	32 Distilled Sap	32 Blazing Gas Sac	32 Lepyx Moonstone	8 Bonjelium																				
Custom.WP-ATK I	Skell Weapon Atk +2%	1 Refined Horn	1 Insect Jaw	1 Strong Purgovent Extract	1 White Cometite																				
Custom.WP-ATK V	Skell Weapon Atk +10%	2 Refined Horn	2 Insect Jaw	2 Strong Purgovent Extract	1 Dawnstone																				
Custom.WP-ATK X	Skell Weapon Atk +20%	4 Quality Giant Cells	4 Visigel Poison Orb	4 Silver Cantor Tooth	2 Everfreeze Ore																				
Custom.WP-ATK XV	Skell Weapon Atk +30%	8 Quality Giant Cells	8 Visigel Poison Orb	8 Silver Cantor Tooth	4 Foucaultium																				
Custom.WP-ATK XX	Skell Weapon Atk +40%	16 Quality Giant Cells	16 Visigel Poison Orb	16 Silver Cantor Tooth	8 Bonjelium																				
Custom.WP-STABLE I	Skell Weapon Stability +10%	1 Poisonous Needle	-	-	1 Arc Sand Ore																				
Custom.WP-STABLE V	Skell Weapon Stability +18%	2 Poisonous Needle	-	-	1 Lionbone Bort																				
Custom.WP-STABLE X	Skell Weapon Stability +28%	3 Poisonous Needle	-	-	1 Enduron Lead																				
Custom.WP-STABLE XV	Skell Weapon Stability +40%	4 Poisonous Needle	-	-	1 Boiled-Egg Ore																				
Custom.WP-STABLE XX	Skell Weapon Stability +50%	5 Poisonous Needle	-	-	1 Marine Rutile																				
Custom.WP-DESTABLE I	Skell Weapon Stability -10%	1 Broken Pincer	-	-	1 Arc Sand Ore																				
Custom.WP-DESTABLE V	Skell Weapon Stability -18%	2 Broken Pincer	-	-	1 Lionbone Bort																				
Custom.WP-DESTABLE X	Skell Weapon Stability -28%	3 Broken Pincer	-	-	1 Enduron Lead																				
Custom.WP-DESTABLE XV	Skell Weapon Stability -40%	4 Broken Pincer	-	-	1 Boiled-Egg Ore																				
Custom.WP-DESTABLE XX	Skell Weapon Stability -50%	5 Broken Pincer	-	-	1 Marine Rutile																				
Custom.WP-M-GP	Skell Melee Wep GP recovery +50	1 Upgraded Coil	1 Flaming Rock	1 Crimson Sacrifole Feather	1 Whie Cometite																				
Custom.WP-R-GP	Skell Ranged Wep GP recovery +5	1 Genuine Frame	1 Black Yggralith Nut	1 Virago Alloy Plate	1 White Cometite																				
Custom.WP-SPEED I	Skell Weapon recasts 5% faster	1 Quality Fuse	1 Golden Simius Mane	1 Upgraded Shaft Part	1 White Cometite																				
Custom.WP-SPEED V	Skell Weapon recasts 9% faster	2 Quality Fuse	2 Golden Simius Mane	2 Upgraded Shaft Part	1 Dawnstone																				
Custom.WP-SPEED X	Skell Weapon recasts 14% faster	3 Quality Fuse	3 Spathi Glyph	3 White Yggralith Nut	2 Everfreeze Ore																				
Custom.WP-SPEED XV	Skell Weapon recasts 20% faster	6 Quality Fuse	6 Spathi Glyph	6 White Yggralith Nut	4 Foucaultium																				
Custom.WP-SPEED XX	Skell Weapon recasts 25% faster	12 Quality Fuse	12 Spathi Glyph	12 White Yggralith Nut	16 Bonjelium																				
Custom.WP-R-RANGE I	Skell Ranged Wep range +2m	1 Turba Straw	1 Used Cylinder	-	1 Aurorite																				
Custom.WP-R-RANGE V	Skell Ranged Wep range +10m	2 Turba Straw	2 Used Cylinder	-	1 Infernium																				
Custom.WP-R-RANGE X	Skell Ranged Wep range +20m	3 Turba Straw	3 Coronid Larynx	-	1 Cimmerian Cinnabar																				
Custom.WP-R-RANGE XV	Skell Ranged Wep range +30m	4 Turba Straw	4 Coronid Larynx	-	1 Ouroboros Crystal																				
Custom.WP-R-RANGE XX	Skell Ranged Wep range +40m	5 Turba Straw	5 Coronid Larynx	-	1 Parhelion Platinum																				
Custom.WP-FUEL I	Fuel consumption for Skell Arts reduced 1%	1 Hi-Spec Sensor Module	-	-	1 Arc Sand Ore																				
Custom.WP-FUEL V	Fuel consumption for Skell Arts reduced 5%	2 Hi-Spec Sensor Module	-	-	1 Lionbone Bort																				
Custom.WP-FUEL X	Fuel consumption for Skell Arts reduced 10%	8 Hi-Spec Sensor Module	-	-	2 Enduron Lead																				
Custom.WP-FUEL XV	Fuel consumption for Skell Arts reduced 15%	16 Hi-Spec Sensor Module	-	-	4 Boiled-Egg Ore																				
Custom.WP-FUEL XX	Fuel consumption for Skell Arts reduced 20%	32 Hi-Spec Sensor Module	-	-	8 Marine Rutile																				
CriticalUp I	Skell Crit Rate +1	1 Oc-serv Hand	1 Ziggian Long Antennae	1 Forfex Miso	1 White Cometite																				
CriticalUp V	Skell Crit Rate +5	2 Oc-serv Hand	2 Ziggian Long Antennae	2 Forfex Miso	1 Dawnstone																				
CriticalUp X	Skell Crit Rate +10	3 Oc-serv Hand	3 Lone Red Ictus Stinger	3 Spiked Tail Fin	1 Everfreeze Ore																				
CriticalUp XV	Skell Crit Rate +15	4 Oc-serv Hand	4 Lone Red Ictus Stinger	4 Spiked Tail Fin	1 Foucaultium																				
CriticalUp XX	Skell Crit Rate +20	5 Oc-serv Hand	5 Lone Red Ictus Stinger	5 Spiked Tail Fin	1 Bonjelium																				
CritUp.THEROID I	Skell Crit Rate vs Beasts +2	1 Fleecy Fur	-	-	1 Arc Sand Ore																				
CritUp.THEROID V	Skell Crit Rate vs Beasts +10	2 Fleecy Fur	-	-	1 Lionbone Bort																				
CritUp.THEROID X	Skell Crit Rate vs Beasts +20	3 Fleecy Fur	-	-	1 Enduron Lead																				
CritUp.THEROID XV	Skell Crit Rate vs Beasts +30	4 Fleecy Fur	-	-	1 Boiled-Egg Ore																				
CritUp.THEROID XX	Skell Crit Rate vs Beasts +50	5 Fleecy Fur	-	-	1 Marine Rutile																				
CritUp.INSECTOID I	Skell Crit Rate vs Insectoids +2	1 Tatty Insect Wing	-	-	1 Arc Sand Ore																				
CritUp.INSECTOID V	Skell Crit Rate vs Insectoids +10	2 Tatty Insect Wing	-	-	1 Lionbone Bort																				
CritUp.INSECTOID X	Skell Crit Rate vs Insectoids +20	3 Tatty Insect Wing	-	-	1 Enduron Lead																				
CritUp.INSECTOID XV	Skell Crit Rate vs Insectoids +30	4 Tatty Insect Wing	-	-	1 Boiled-Egg Ore																				
CritUp.INSECTOID XX	Skell Crit Rate vs Insectoids +50	5 Tatty Insect Wing	-	-	1 Marine Rutile																				
CritUp.PISCINOID I	Skell Crit Rate vs Piscoids +2	1 Small Dorsal Fin	-	-	1 Arc Sand Ore																				
CritUp.PISCINOID V	Skell Crit Rate vs Piscoids +10	2 Small Dorsal Fin	-	-	1 Lionbone Bort																				
CritUp.PISCINOID X	Skell Crit Rate vs Piscoids +20	3 Small Dorsal Fin	-	-	1 Enduron Lead																				
CritUp.PISCINOID XV	Skell Crit Rate vs Piscoids +30	4 Small Dorsal Fin	-	-	1 Boiled-Egg Ore																				
CritUp.PISCINOID XX	Skell Crit Rate vs Piscoids +50	5 Small Dorsal Fin	-	-	1 Marine Rutile																				
CritUp.HUMANOID I	Skell Crit Rate vs Humanoids +2	1 Broken Buckle	-	-	1 Arc Sand Ore																				
CritUp.HUMANOID V	Skell Crit Rate vs Humanoids +10	2 Broken Buckle	-	-	1 Lionbone Bort																				
CritUp.HUMANOID X	Skell Crit Rate vs Humanoids +20	3 Broken Buckle	-	-	1 Enduron Lead																				
CritUp.HUMANOID XV	Skell Crit Rate vs Humanoids +30	4 Broken Buckle	-	-	1 Boiled-Egg Ore																				
CritUp.HUMANOID XX	Skell Crit Rate vs Humanoids +50	5 Broken Buckle	-	-	1 Marine Rutile																				
CritUp.MECHANOID I	Skell Crit Rate vs Mechanoids +2	1 Standard Crank	-	-	1 Arc Sand Ore																				
CritUp.MECHANOID V	Skell Crit Rate vs Mechanoids +10	2 Standard Crank	-	-	1 Lionbone Bort																				
CritUp.MECHANOID X	Skell Crit Rate vs Mechanoids +20	3 Standard Crank	-	-	1 Enduron Lead																				
CritUp.MECHANOID XV	Skell Crit Rate vs Mechanoids +30	4 Standard Crank	-	-	1 Boiled-Egg Ore																				
CritUp.MECHANOID XX	Skell Crit Rate vs Mechanoids +50	5 Standard Crank	-	-	1 Marine Rutile																				
CritUp.CHIMEROID I	Skell Crit Rate vs Chimeras +2	1 Sticky Mucus	1 Bloodied Face	1 Fine White Belt	1 White Cometite																				
CritUp.CHIMEROID V	Skell Crit Rate vs Chimeras +10	2 Sticky Mucus	2 Bloodied Face	2 Fine White Belt	1 Dawnstone																				
CritUp.CHIMEROID X	Skell Crit Rate vs Chimeras +20	3 Sticky Mucus	3 Black Colubrium Tail	3 Brown Colubrium Tail	1 Everfreeze Ore																				
CritUp.CHIMEROID XV	Skell Crit Rate vs Chimeras +30	4 Sticky Mucus	4 Black Colubrium Tail	4 Brown Colubrium Tail	1 Foucaultium																				
CritUp.CHIMEROID XX	Skell Crit Rate vs Chimeras +50	5 Sticky Mucus	5 Black Colubrium Tail	5 Brown Colubrium Tail	1 Bonjelium																				
CritUp.ULTRAFAUNA I	Skell Crit Rate vs Ultrafauna +2	1 Thick Cinicula Horn	1 Black Electrical Tentacle	1 Hot Potamus Juice	1 White Cometite																				
CritUp.ULTRAFAUNA V	Skell Crit Rate vs Ultrafauna +10	2 Thick Cinicula Horn	2 Black Electrical Tentacle	2 Hot Potamus Juice	1 Dawnstone																				
CritUp.ULTRAFAUNA X	Skell Crit Rate vs Ultrafauna +20	3 Thick Cinicula Horn	3 Reverse Colubrim Fin	3 Colubrim Eel Kebab	1 Everfreeze Ore																				
CritUp.ULTRAFAUNA XV	Skell Crit Rate vs Ultrafauna +30	4 Thick Cinicula Horn	4 Reverse Colubrim Fin	4 Colubrim Eel Kebab	1 Foucaultium																				
CritUp.ULTRAFAUNA XX	Skell Crit Rate vs Ultrafauna +50	5 Thick Cinicula Horn	5 Reverse Colubrim Fin	5 Colubrim Eel Kebab	1 Bonjelium																				
Slayer.THEROID I	Skell Dmg vs Beasts +2%	1 Fleecy Fur	-	-	1 Arc Sand Ore																				
Slayer.THEROID V	Skell Dmg vs Beasts +10%	2 Fleecy Fur	-	-	1 Lionbone Bort																				
Slayer.THEROID X	Skell Dmg vs Beasts +20%	3 Fleecy Fur	-	-	1 Enduron Lead																				
Slayer.THEROID XV	Skell Dmg vs Beasts +30%	4 Fleecy Fur	-	-	1 Boiled-Egg Ore																				
Slayer.THEROID XX	Skell Dmg vs Beasts +40%	5 Fleecy Fur	-	-	1 Marine Rutile																				
Slayer.INSECTOID I	Skell Dmg vs Insectoids +2%	1 Tatty Insect Wing	-	-	1 Arc Sand Ore																				
Slayer.INSECTOID V	Skell Dmg vs Insectoids +10%	2 Tatty Insect Wing	-	-	1 Lionbone Bort																				
Slayer.INSECTOID X	Skell Dmg vs Insectoids +20%	3 Tatty Insect Wing	-	-	1 Enduron Lead																				
Slayer.INSECTOID XV	Skell Dmg vs Insectoids +30%	4 Tatty Insect Wing	-	-	1 Boiled-Egg Ore																				
Slayer.INSECTOID XX	Skell Dmg vs Insectoids +40%	5 Tatty Insect Wing	-	-	1 Marine Rutile																				
Slayer.PISCINOID I	Skell Dmg vs Piscoids +2%	1 Small Dorsal Fin	-	-	1 Arc Sand Ore																				
Slayer.PISCINOID V	Skell Dmg vs Piscoids +10%	2 Small Dorsal Fin	-	-	1 Lionbone Bort																				
Slayer.PISCINOID X	Skell Dmg vs Piscoids +20%	3 Small Dorsal Fin	-	-	1 Enduron Lead																				
Slayer.PISCINOID XV	Skell Dmg vs Piscoids +30%	4 Small Dorsal Fin	-	-	1 Boiled-Egg Ore																				
Slayer.PISCINOID XX	Skell Dmg vs Piscoids +40%	5 Small Dorsal Fin	-	-	1 Marine Rutile																				
Slayer.HUMANOID I	Skell Dmg vs Humanoids +2%	1 Broken Buckle	-	-	1 Arc Sand Ore																				
Slayer.HUMANOID V	Skell Dmg vs Humanoids +10%	2 Broken Buckle	-	-	1 Lionbone Bort																				
Slayer.HUMANOID X	Skell Dmg vs Humanoids +20%	3 Broken Buckle	-	-	1 Enduron Lead																				
Slayer.HUMANOID XV	Skell Dmg vs Humanoids +30%	4 Broken Buckle	-	-	1 Boiled-Egg Ore																				
Slayer.HUMANOID XX	Skell Dmg vs Humanoids +40%	5 Broken Buckle	-	-	1 Marine Rutile																				
Slayer.MECHANOID I	Skell Dmg vs Mechanoids +2%	1 Standard Crank	-	-	1 Arc Sand Ore																				
Slayer.MECHANOID V	Skell Dmg vs Mechanoids +10%	2 Standard Crank	-	-	1 Lionbone Bort																				
Slayer.MECHANOID X	Skell Dmg vs Mechanoids +20%	3 Standard Crank	-	-	1 Enduron Lead																				
Slayer.MECHANOID XV	Skell Dmg vs Mechanoids +30%	4 Standard Crank	-	-	1 Boiled-Egg Ore																				
Slayer.MECHANOID XX	Skell Dmg vs Mechanoids +40%	5 Standard Crank	-	-	1 Marine Rutile																				
Slayer.CHIMEROID I	Skell Dmg vs Chimera +2%	1 Sticky Mucus	1 Bloodied Face	1 Fine White Belt	1 White Cometite																				
Slayer.CHIMEROID V	Skell Dmg vs Chimera +10%	2 Sticky Mucus	2 Bloodied Face	2 Fine White Belt	1 Dawnstone																				
Slayer.CHIMEROID X	Skell Dmg vs Chimera +20%	3 Sticky Mucus	3 Yellow Millepod Rock	3 Millepod Ice Rock	1 Everfreeze Ore																				
Slayer.CHIMEROID XV	Skell Dmg vs Chimera +30%	4 Sticky Mucus	4 Yellow Millepod Rock	4 Millepod Ice Rock	1 Foucaultium																				
Slayer.CHIMEROID XX	Skell Dmg vs Chimera +40%	5 Sticky Mucus	5 Yellow Millepod Rock	5 Millepod Ice Rock	1 Bonjelium																				
Slayer.ULTRAFAUNA I	Skell Dmg vs Ultrafauna +2%	1 White Forfex Shell	1 Black Electrical Tentacle	1 Hot Potamus Juice	1 White Cometite																				
Slayer.ULTRAFAUNA V	Skell Dmg vs Ultrafauna +10%	2 White Forfex Shell	2 Black Electrical Tentacle	2 Hot Potamus Juice	1 Dawnstone																				
Slayer.ULTRAFAUNA X	Skell Dmg vs Ultrafauna +20%	3 White Forfex Shell	3 Reverse Millepod Fin	3 Deva Caladar's Red Ear	1 Everfreeze Ore																				
Slayer.ULTRAFAUNA XV	Skell Dmg vs Ultrafauna +30%	4 White Forfex Shell	4 Reverse Millepod Fin	4 Deva Caladar's Red Ear	1 Foucaultium																				
Slayer.ULTRAFAUNA XX	Skell Dmg vs Ultrafauna +40%	5 White Forfex Shell	5 Reverse Millepod Fin	5 Deva Caladar's Red Ear	1 Bonjelium																				
M-Auto.BLACKOUT I	Skell Melee AA 5% inflict Blackout I	1 Ovis Polishing Stone	-	-	1 Arc Sand Ore																				
M-Auto.BLACKOUT V	Skell Melee AA 10% inflict Blackout I	2 Ovis Polishing Stone	-	-	1 Lionbone Bort																				
M-Auto.BLACKOUT X	Skell Melee AA 10% inflict Blackout II	3 Ovis Polishing Stone	-	-	1 Enduron Lead																				
M-Auto.BLACKOUT XV	Skell Melee AA 10% inflict Blackout III	4 Ovis Polishing Stone	-	-	1 Boiled-Egg Ore																				
M-Auto.BLACKOUT XX	Skell Melee AA 10% inflict Blackout IV	5 Ovis Polishing Stone	-	-	1 Marine Rutile																				
M-Auto.FATIGUE I	Skell Melee AA 5% inflict Fatigue I	1 Muscled Suid Bulge	-	-	1 Arc Sand Ore																				
M-Auto.FATIGUE V	Skell Melee AA 10% inflict Fatigue I	2 Muscled Suid Bulge	-	-	1 Lionbone Bort																				
M-Auto.FATIGUE X	Skell Melee AA 10% inflict Fatigue II	3 Muscled Suid Bulge	-	-	1 Enduron Lead																				
M-Auto.FATIGUE XV	Skell Melee AA 10% inflict Fatigue III	4 Muscled Suid Bulge	-	-	1 Boiled-Egg Ore																				
M-Auto.FATIGUE XX	Skell Melee AA 10% inflict Fatigue IV	5 Muscled Suid Bulge	-	-	1 Marine Rutile																				
M-Auto.PHYS-DOWN I	Skell Melee AA 5% inflict Physical Res Down I	1 Juicy Wild Meat	-	-	1 Arc Sand Ore																				
