the	currently replacing Japanese names with English							You can purchase all enemy drops from the online console in the BLADE Barracks using Reward Tickets.			
Name	Client	Location	Story	Prereqs	Gold	Exp	Reward	Objectives	Notes		
Dead Men Tell No Tales	Stella	Admin District	7	Primordia>50%	18000	290	Fig: Painful Existence	Head to Dead Man's Gulch in Noctilum and fight Marnuk Commander; then 3 Compulsive Tainted; Talk to Unknown Xenoform B; Talk to Stella			
The Voltant Visionary	Trachlo Lythren	Industrial District	7	Dead Men Tell No Tales	15000	260	Fig: Zaruboggan with Gorkwa	Head to Vitriol Cesspool in Noctilum and defeat 1 Barge Purgovent; Talk to Arsenican; Talk to Trachlo Lythren			
Pollution Solution	Liza	Industrial District	7	The Voltant Visionary;Prone Sweet Prone	19000	310	Fig: Pistolia Series	Choose "Zaruboggans" at the start for A ending; "Ma-non" or "Nopon" for B; Collect 3 Everfreeze Ore or 10 Jagitos Copper; Deliver either to Lyza	If you don't choose the Zaruboggans at the beginning; they'll show up at the end anyway to prevent the accident.		
Child of Mira	Orleron	Industrial District	11	Pollution Solution	19000	310	Fig: Zaruboggan with Dogs	Choose "Suggest NLA" at the start for A; "Suggest the Ma-non Ship" for B; Talk to Arsenican; Inspect the Zaruboggan Corpse at the Abyss Reservoir in Sylvalum; A: Talk to Orleron; Head to Phosphor Lake in Cauldros; B: Talk to Orleron; Collect 1 Vigent Blood; Deliver it to Orleron;	If you tell Orleron to study in NLA; he turns into a punk and has some scenes with Trachlo Lythren. If you told him to study at the Ma-non Ship; he becomes an upstanding Zaruboggan and falls in love? with Vera.	Vigent Blood drops from Vigents(head/weakpoint?); the easiest location is probably from Berserk Vigents SW of FN313/315.										
A Dubious Operation	Shiraton	Commercial District	7	Dead Men Tell No Tales	A: 20000 B: 70000	300	Fig: Ruina Series	Receive the Hazardous Container from from Jeffrey; Hazardous Fuel Cell form Graham; and Toxic Chemical Bomb from Pfeffen; Take them back to Shiraton; Head to Seaswept Rise in Primordia and defeat 1 Gold Courage; Choose "Refuse" for A; or "Agree" for B	Graham can be by Professor B; the Test Hangar; or the parking lot depending on the quests you've done[?]. The choice only affects payment		
Stop; Thief!	Shiraton	Commercial District	9	A Dubious Operation	A: 26000 B: 28000	A: 350 B: 410	Fig: Zaruboggan with Sword	Talk to Tracey; Choose "Confirm" first or "Inquire"->"disagree" for the A ending; or "Inquire"->"Agree" for B ending; Head to Janpath East Plain and inspect vehicle; Deliver the Deep Blue Gem to Tracey; Talk to Shiraton	The "endings" only change some of the rewards slightly. The outcome is still the same.												
Gorkwa Games	Troylan	Ma-non Ship	7	Dead Men Tell No Tales	18000	290	Fig: Dyads II Series	Talk to Lulladu and choose "Offer Job";  Collect 1 Hi-Spec Sensor Module and 1 Hulking Incisor; Deliver them to Lulladu; Talk to Troylan; Head to Lulladu's shop; Head to White Phosphor Lake in Cauldros; Talk to Troylan	An easy Hi-Spec Sensor Module drop is from the lone Assault Barrager Zig south of 416; and easy Hulking Incisors from Mesgen at Syram Lake's east bank(break the face).		
Pack It In	Nococche	Industrial District	9	Dead Men Tell No Tales	41000	480	Fig: Dyads III Series;Improved Snorkel II;Upgraded Swimsuit Bottoms II	Collect 1 All-Purpose Plug; Deliver it to Nococche; Talk to Atheron; Collect 2 Mottled Mums and 5 Parhelion Platinum; Deliver them to Atheron	All-Purpose Plugs drop from Galdrs; easy targets are the Guide Owls in the air around 210. The Platinum is mined from FrontierNav; and the Mums are found in the western section of Cauldros.		
The Good Thief	Horonalderon	Industrial District	9	Dead Men Tell No Tales;Water Woes	24000	330	Fig: Ruina Series	Inspect the trailer at Northpointe Beach in Primordia; then defeat 4 Vigil Forfex; Inspect the trailer; Talk to Phoskeran; Talk to Piers; Head to Biarno Facility and foil Homer's plan(choose "Soothe"->"Disagree"->"Agree"->"Wait" after the initial choice) for the A ending; or choose any other answer at any point for B; Talk to Horonalderon	In the B ending; Homer will throw the stolen voltant into the reservoir; but Phoskeran will suck it back out anyway. In the A ending; Homer talks out his problems and gives the voltant back before turning himself in. Horonalderon's affinity with Phoskeran is more positive in the B ending.		
The Old Gods	Feloran	Ma-non Ship	12	Dead Men Tell No Tales	52000	510	Fig: Zaruboggan with Ancestors	Talk to Toluera; Obtain the Zirtodiamond from Hilal Stronghold in Sylvalum; Talk to Toluera; choose "Refuse" on either the second or third prompt for A; or "Inquire"->"Accept" for B; A: Talk to Feloran; Talk to Kiliran; Defeat 1 Xe-dom Sarto; Talk to Kiliran; Talk to Feloran; B: Talk to Kiliran; Defeat 1 Xe-dom Sarto; Talk to Kiliran; Talk to Truela;	Try not to aggro the Jaculs near Toluera; or the everything in White Phosphor Lake. The A route ends with Feloran worshipping humans as the second coming of Golbogga. The B route ends with Toluera getting really butthurt about Golbogga's identity and running off.											
Setting Forth	Muimui	Admin District	8	BFFs	10	300	Fig: Bangbangs Series	Collect 5 Taut Leather; 2 White Mirrorglass; 3 Sonar Lemons; Deliver them to Muimui; A: Head to Biahno Lake and defeat the Lowly Terebra to obtain the Smelly Legen-dar; Talk to Moimoi; B: Pay Moimoi 30;000 credits; Talk to Muimui	Leather drops from Vespers; Terebras and Caros. Whtie Mirrorglass drops from Primordia's Grexes. Sonar Lemons can be found in the areas west/east/north of Janpath Lake.		
Muimui's Meltdown	Moimoi	Industrial District	9	Setting Forth	20	320	Fig: Nopon Despair	Head to Janpath North Plains in Primordia and defeat 3 Hungry Auravis; Defeat 1 Strong Auravis; Talk to Moimoi			
Bread and a Circus	Moimoi	Residential District	10	Muimui's Meltdown	-	410	Fig: Tasty Lunch Box	Talk to Muimui; Collect 5 Cosse Beans; 3 Fullbelly Geckos; Deliver them to Muimui; Talk to Moimoi	Cosse Beans are found around Lake Basel; Fullbelly Geckos in W/SW Oblivia. Muimui's a jerk		
The Sword of Legendaryness	Muimui	Commercial District	11	Bread and a Circus	-	460	Fig: Sword of Legendaryness;Upgraded Diving Mask II;Upgraded Diving Bottoms II	Head to Seabird's Beak in Sylvalum; Search the three radar points for the Sword of Legendaryness; Talk to Walter; Head to East Melville Street	The sword is at the spot in Behemoth's Shadows; which can be entered from FN420. You don't need to check the other two[probably]											
Sparking a Smile	Ngogo	Commercial District	8	BFFs;Mira>40%	22000	310	Fig: Thudclang Series;Party Suit	Talk to the leaders of the four Nopon caravans; and complete the sub-mission The Big Bang; Deliver the contracts to Ngogo; The ending from Popote's Demand determines your route; A: Talk to Popote; Collect 5 Coldberries and 3 Spicy Sacrifole Pollen; Deliver them to Popote; Talk to Ngogo; B: Talk to Ngogo;	If you sent Pisa back in The Big Bang; Popote's fireworks will fail; and you'll have to gather items to fix them. Popote is up in the skywalks above Cauldros; which you may not be able to reach without the flight module.	Coldberries are found south and west of Lake Ciel in Sylvalum; Spicy Sacrifole Pollen drops from any Sacrifole. If you sent Popote; Pisa's fireworks will succeed and the quest will end; and Popote will stay in NLA.	
The Big Bang	Popote	-	-	part of Sparking a Smile	15000	300	-	Obtain 3 Infernium; 4 Autiga Powder and 6 Poron Tulips; Deliver them to Popote; choose "Agree" for A; "Disagree" for B	Infernium is obtained through FontierNav. Autiga Powder is found around White Phosphor Lake; Poron Tulips are found there and around the volcano(Cauldros). Your choice at the end determines the ending in Sparking a Smile.													
Material Hunt A	L	-	-	L's Conundrum	-	-	-	Gather 10 Chameleon Sand and 10 Gluttonutan Clay	Sand is found around the central river in Oblivia; Clay around FN Sites 219/220		
Material Hunt B	L	-	-	L's Conundrum	-	-	-	Gather 2 Boiled-Egg Ore and 5 Gun Snakes	Gun Snakes are found in the western section of Cauldros		
Material Hunt C	L	-	-	L's Conundrum	-	-	-	Gather 3 Multi-Wires and 4 Abyssal Crickets	Multi-Wires drop from Shrads; easy targets are the Fleet Shrad at White Phosphor Lake(503). Crickets are found in western Cauldros												
Elma's Task A	Elma	-	-	Boot Camp	-	-	-	Defeat 2 Silver Suids using a Soldier Assault Rifle			
Elma's Task B	Elma	-	-	Boot Camp	-	-	-	Defeat 2 Silver Femina Suids using a Soldier Assault Rifle			
Elma's Task C	Elma	-	-	Boot Camp	-	-	-	Defeat 2 Tough Armored Suids using a Soldier Assault Rifle												
Hackers	Eleonora	-	-	The Little Rich Girl	-	-	-	Find Lan'cord's research data	Lan'cord's research data can be obtained from the console at Lakeview Stronghold in Noctilum.		
Securing Lan'cord	Eleonora	-	-	The Little Rich Girl	-	-	-	Find Lan'cord's whereabouts; Talk to Lan'cord at Lake Basel	Lan'cord's location can be obtained from either Bedrock Hold in Primordia; or Jair Fortress in Oblivia. You only need to visit one.	Bedrock's console is right near the entrance; but it's guarded by two Marnuck Jaegers and the Prototype Puge tyrant. The nearby Fal-swo will likely interfere if you engage; so take care if you choose this path.	Jair's console is safe; but getting to it might be a challenge: the simplest way to reach it is by flying to the ledge north of it in a skell(avoiding all of the fal-swo); disembarking; and jumping onto the building from the rocky cliffs nearby.
Waste Not, Want Not	Lara Mara	Admin District	10	-	27000	390	Fig: Visions of Beauty;Fig: Trigger Series	Collect 1 Cockpit Wreckage; 1 Engine Wreckage; and 3 Zu Pharg Wreckage; Deliver them to Rutantan	The three unmarked wreckages locations are(relative to the indicator on the gamepad map): about one segment north of the indicated location; directly east of the indicated location; and almost directly on top of the indicated location		
Turf War	Enrai	Industrial District	10	Waste Not, Want Not	26000	380	Fig: Assault III Series	Obtain Blood-Soaked Beast Fur; Head to Delusians South Summit in Sylvalum and fight 1 Cunning Sylooth and 1 Daunting Sylooth; Talk to Enrai	The two Sylooth are smack dab in the middle of several lv50+ enemies; as well is directly in the path of a tyrant Sylooth. Your best bet is to engage from above after the tyrant has passed. Chances are you'll need a lv50 frame either way.		
White Lifehold	Lara Mara	Admin District	11	Waste Not, Want Not	43000	470	Fig: Assassins	Inspect the Lifehold at the Northern Searoad in Sylvalum and defend the area for 3 minutes; then fight 2 Gale Qmoeva; 2 Haze Milsaadi; 2 Milsaadi Fate; Inspect the Lifehold; Talk to Lara Mara	If you're having trouble surviving for 3 minutes; consider waiting until you have a team of lv50 frames; or stacking ether/beam/whateverthemilsaadiusemost res.		
The Duel (Part I)	Gi Zang	Oblivia	10	A Challenger Approaches	28000	400	Fig: Deadsight II Series	Defeat 1 Vice Simius OR defeat 10 Faded Adsecula; Talk to Gi Zang and fight him; Talk to Gi Zang again	Your choice of target doesn't change anything; but be wary of the nearby Ocean Balaena if you choose the Adsecula		
The Duel (Part II)	Gi Zang	Admin District	11	The Duel (Part I)	39000	450	Fig: Lightblade Series	Head to the Elephant's Trunk in Noctilum; Talk to Gi Zang and fight him; Talk to Gi Zang and fight him; Talk to Gi Zang and fight him; Talk to Gi Zang	TALK TO GI ZANG AND FIGHT HIM. He's standing west of the BLADE Tower before you accept		
The Duel (Part III)	Gi Zang	Admin District	11	The Duel (Part II)	41000	460	Fig: Edges II Series	Head to Ciel Lake in Sylvalum and fight 3 Drove Adsecula; Talk to Gi Zang and fight him; Talk to Gi Zang; Defeat 1 Jacul Rage; Talk to Gi Zang	RIP Zang Crusher		
The Duel (Part IV)	Gi Zang	Cauldros	11	The Duel (Part III)	43000	470	Fig: Glaive II Series	Talk to ??? in the Ruined City of O'rrh Sim and fight 4 Tectonic Puge; Head further in and fight 3 Tectonic Puge; then choose "Rejoice" for A; "Warn" for B; A: Fight MO037: Moore and 4 Tectonic Puge; Talk to Gi Zang; B: Fight MO037: Moore; Talk to Gi Zang;	Gi Zang is waiting NE of the Titan's Table to start the quest. It should be pretty obvious; but don't get too close to the Xe-dom by the first fight.	If you choose Rejoice; Gi Zang gets stabbed and gives you his Hundred Devil Sword(Photon Saber with mediocre stats). If you choose Warn; Gi Zang will be fine; but you don't get the weapon. He survives either way; so...	
The Lurker	Go Rogan	Ma-non Ship	12	The Duel (Part IV)	54000	520	Fig: Ultimate Technique;FILE-USP0480ME	Talk to Gi Zang; Talk to Gi Zang and fight 3 of him; Talk to Gi Zang; Talk to Go Rogan	This guy is bonkers		
Until the End	Vi Sezha	Oblivia	11	A Challenger Approaches	41000	460	Fig: Edges Series;Fig: Wrothian Female	Inspect the Damaged Wrothian Skell at the T'phnom Shelf in Cauldros; and fight 3 Marnuck Scout; Talk to Ge Jewhe with Vi Sezha's Bracelet and choose "Shake Head" for A; talk to her without the bracelet or choose "Nod" for B; Head to the Boxtrap Checkpoint in Cauldros and fight 1 Phantom Seidr; Talk to/approach Ge Jewhe; Talk to Vi Sezha	Vi Sezha is standing on the balcony with the mechanical 5 chest in the Wroth cave camp. Her bracelet is on a ledge with a chest near Ge Jewhe's location; after the fight with the Marnucks. The A ending has her return to Vi Sezha :3; the B ending will result in her death :<.		
Leaving the Nest	De Ezich	Oblivia	12	19:00~4:59 Until the End	38000	440	Fig: Raidrifle Series;Fig: Wrothian Male	Head to the Cauldros Threshold in Sylvalum and fight Sazon Caladar; then fight Soghu Caladar; Talk to De Ezich and choose "Approve" for A; "Scold" for B; A: Talk to De Ezich; B: Fight De Ezich;	De Ezich is an asshole and is standing way in the back of the Wroth cave camp; in the corner past the water; he might not load immediately so go all the way to the end and wait if you can't find him. The A route ends with him working as a bouncer at the diner and appreciating his parents a bit; the B route ends with his parents reprimanding him.		
Lend an Ear	Gu Ladha	Admin District	11	A Challenger Approaches	38000	430	Fig: Buxom Battlers;Fig: Sidearm Series;Refined Kitty Ears	Purchase a Chrome Knife at the shop; Deliver it to Gu Ladha; choose "Suggest" for A; "Train" for B (second prompt); A: Talk to Zo Geil(daytime); Collect 2 Bloodied Faces; 3 Tempered Blade Modules; 1 Advanced Core; Deliver them to Zo Geil(daytime); B: Talk to Gu Ladha and fight her; Talk to Gu Ladha; Talk to Gu Ladha and fight Ladha Caladar; Talk to Gu Ladha;	Gu Ladha's on top of the BLADE Tower. If you follow the A route; she becomes a liaison; if you follow the B route; she regains her will to fight as a soldier.	Bloodied Faces drop off pretty much every Qmoeva(break face?). Tempered Blade Modules drop off Shrads(arms); easy targets are Hazard Shrads in Badr Strongold in Sylvalum. Advanced Cores drop from Xe-doms(cannon); the 'easiest' targets are Molybdenum Xe-doms that wander various low-altitude areas of Sylvalum.	
Plans of Attack	Zo Zinath	Oblivia	11	19:00~4:59 Lend an Ear	32000	470	Fig: Foot Soldiers;FILE-USP0980GG	Obtain the New Weapon Blueprint from Badr Strongold in Sylvalum; Talk to Zo Zinath; Talk to Gi Nogan and choose "Begin"; then defend from enemies for 3 minutes; Defeat 8 Marnuck Surveillant within 5 minutes; Talk to Zo Zinath(night)	Zo Zinath is in the Wroth cave camp; slightly south of Ga Jiarg. Infiltrating Badr isn't particularly difficult; especially with a Skell; but you'll most likely have to fight a Milsaadi within the building containing the plans. You'll probably want AoE Skell arts for the defense; or else heavy beam/physical res to protect against their attacks.		
Trade Agreement	Warawa	Commercial District	7	BFFs;Prone Sweet Prone;Circle of Life;Dead Men Tell No Tales	20000	240	Fig: Clash of the Cute;Fig: Thwipper Series;Upgraded Diving Bottoms;Upgraded Diving Mask	Trade cards until you acquire the Gold Nopopotamus Card(see Notes on the right); Deliver it to Warawa	Trading Sequence - you can't 'mess up'		
The Party Line	Sun'barac	Ma-non Ship	12	A Challenger Approaches;BFFs;Prone Sweet Prone;Circle of Life;Dead Men Tell No Tales	50000	500	Fig: No Words;Supreme Snorkel Supreme;Swimsuit Bottoms	Obtain 1 Sibercaseras Mushroom and 5 Sturdy Drakebones; Deliver them to Sun'barac; Talk to Adappin in the morning; afternoon; or nighttime; and drug him; Head to E.Melville Street and talk to Adappin; Talk to Sun'barac; choose "Approve" for A; "Propose" for B; A: Mission ends; B: Gather Intel in the Industrial District; Ma-non Ship; and Residential District; Talk to Sun'barac;	Sibercaseras Mushrooms can be found in caves and the southernmost section of Noctilum. Sturdy Drakebones drop from Millepods and Levitaths; the easiest drop would probably be the Welkin Levitaths that fly around N/E Primordia. The correct time to speak to Adappin is the morning(5:00~11:59); talking to him in the afternoon or nighttime will just hint that morning is the correct time.	The Industrial District Intel is near the north end of the bridge leading north from the food plant; the Ma-Non Ship Intel is on the lower level of the Starboard side; and the Residential Intel is south of the Ishmael Hills landmark. Choosing A will result in Kopopo becoming the xenoform representative; a more reasonable version of his Nopon 'tax' passes; resulting in increased Nopon spending and lots of profits for everyone else. Choosing B results in Sun'barac being elected and doing normal things.	
The Gauntlet	Zo Ozuchi	Industrial District	12	Present for Hope;A Dish Served Cold;An Ancient Legend;Haywire! Definian Love -OR- Fortun and Glory;The Lurker	54000	520	Fig: Guard Machine Type B;High Dive Body;High Dive Hand R;High Dive Hand L	Talk to Zo Ozuchi and choose "agree" to begin the battle. After each fight; talk to Zo Ozuchi to continue to the next: 1st - Zo Zaji 2nd - Gigas Nopopotamus 3rd - Slovity Pagus 4th - Gwin 5th - Autosentry MkII 6th - Gi Zang 7th: Ozuchi Caladar			
