Name	Genus	Type	Continent	Location	Lv	Exp	HP	M.Pow	M.Acc	R.Pow	R.Acc	Pot.	Eva	Res		Drops~								Wep	Armor	SkellWep	SkellArmr	Tyrant
				n=night, hi/lo=high/low, air=flying around, wait=doesn't appear immediately										Phys/Beam/Eth/Heat/Elec/Grav										Gear Drops (click link for more details)			
Lomoth, the Beast-Eater	Germivore	Insectoid	Oblivia	318NE(hi)	28	113	50572	311	161	311	156	327	83	40/5/-20/-20/5/5		Sharp Germivore Jaw	Flowering Germivore Scales	Insect Jaw	Sticky Mucus	---	---	---		〇	SS - H	---	---	Y
Squallo, the Sand Mirer	Sabula	Insectoid	Oblivia	[5:00~19:00]: 305SE	65	6072	2268108	3718	299	3718	367	2860	51	50/5/-20/-20/5/5		Sabula Backbone	Nutritious Microbes	Scratched Jewel	---	---	---	---		〇	---	---	---	Y
Valerian, the Iron Cutter	Ictus	Insectoid	Oblivia	315	48	850	193767	1145	292	1049	238	1001	149	40/5/-20/-20/5/5		Lone White Ictus Stinger	Ictus Shell	Pristine Insect Jaw	Lead Carapace	---	---	---		〇	SA - L	---	---	Y
Frightening Ictus	Ictus	Insectoid	Oblivia	309	31~40	296~419	47356~66292	630~860	213~246	577~788	173~200	551~752	88~115	35/0/-25/-25/0/0		Lone Purple Ictus Stinger	Ictus Shell	Pristine Insect Jaw	Lead Carapace	---	---	---		〇	SA - L	---	---
Fearsome Ictus	Ictus	Insectoid	Oblivia	310(lo),315S,321	41~50	437~604	74045~89595	889~1152	249~288	815~1056	203~235	778~1008	118~150	35/0/-25/-25/0/0		Lone Purple Ictus Stinger	Ictus Shell	Pristine Insect Jaw	Lead Carapace	---	---	---		〇	SA - L	---	---
Belenguer, the Gunhammer	Ictus	Insectoid	Oblivia	311	30	425	102149	635	220	581	178	555	89	40/5/-20/-20/5/5		Lone Purple Ictus Stinger	Ictus Shell	Pristine Insect Jaw	Lead Carapace	---	---	---		〇	SA - L	---	---	Y
Parasite Gerrid	Gerrid	Insectoid	Oblivia	Summoned by Gradivus (randomly?)	51~70	424~714	89633~121848	795~1206	268~319	723~1097	262~313	795~1206	161~210	0/0/-25/-50/0/0		Clear Gerrid Soup	Gerrid Shell	Gerrid Navel	Odorous Tentacle	Active Cells	Lead Carapace	---		---	ME - L	---	---
Drone Mortifole	Mortifole	Insectoid	Oblivia	302E	11~20	36~62	6765~14397	122~214	125~143	135~236	126~144	128~225	35~53	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Green Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Recluse Mortifole	Mortifole	Insectoid	Oblivia	318SW	21~30	67~110	15243~25966	238~351	145~175	263~388	147~178	250~369	55~85	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Green Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Jindriska, the Serene	Mortifole	Insectoid	Oblivia	302E	26	228	57423	315	163	349	166	332	69	40/5/-20/-20/5/-20		Shiny Mortifole Seed	Mortifole Pollen	Green Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---	Y
Poisonous Mortifole	Mortifole	Insectoid	Oblivia	316W	21~30	112~184	17933~30549	238~351	145~75	275~406	154~187	250~369	49~76	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Red Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Toxic Mortifole	Mortifole	Insectoid	Oblivia	315SW,317N	41~50	284~392	49812~60273	516~668	208~240	597~774	223~258	543~704	106~135	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Red Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Eliane, the Unmoved	Mortifole	Insectoid	Oblivia	312SE	29	264	65828	355	173	411	184	374	70	40/5/-20/-20/5/-20		Shiny Mortifole Seed	Mortifole Pollen	Red Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---	Y
Cataract Levitath	Levitath	Insectoid	Oblivia	303N,310(lo),311(lo),321	41~50	852~1176	371571~449604	938~1216	197~228	1136~1472	203~235	988~1280	118~150	35/0/-25/-25/0/-25		Sparkling Purple Gem	Leviath Sun Bead	Levitath Feather	Nutritious Microbes	Sturdy Drakebone	---	---		---	OR - M	---	---
Abyssal Levitath	Levitath	Insectoid	Oblivia	315(hi)	51~60	1212~1560	458263~536274	1250~1558	231~266	1513~1886	239~275	1316~1640	154~190	35/0/-25/-25/0/-25		Sparkling Purple Gem	Leviath Sun Bead	Levitath Feather	Nutritious Microbes	Sturdy Drakebone	---	---		---	OR - M	---	---
Silvestre, the Morning Light	Levitath	Insectoid	Oblivia	317SW(around ring)	48	1656	972594	1208	231	1463	238	1272	149	40/5/-20/-20/5/-20		Sparkling Purple Gem	Leviath Sun Bead	Levitath Feather	Nutritious Microbes	Sturdy Drakebone	---	---		---	OR - M	---	---	Y
Hartmut, the Calamity	Millepod	Insectoid	Oblivia	abyss(flies from east edge to mid)	91	9366	3412539	5417	397	5417	392	4334	315	40/100/-20/-20/5/-20		Reverse Millepod Fin	Millepod Ice Rock	Decrepit Wing	Fossilized Bone	Sturdy Drakebone	---	---		---	OR - H	5	---	Y
Coral Purgovent	Purgovent	Piscinoid	Oblivia	308,313(lo)	31~40	518~734	227310~318205	787~1075	173~199	682~932	164~190	700~956	99~129	0/0/-25/0/-50/-25		Large Purgovent Liver	Strong Purgovent Extract	Smooth Tail Fin	Purgovent Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	ME - M	5	---
Ocean Purgovent	Purgovent	Piscinoid	Oblivia	314N(lo),316S	41~50	767~1058	355416~430056	1111~1440	202~234	963~1248	192~223	988~1280	132~168	0/0/-25/0/-50/-25		Large Purgovent Liver	Strong Purgovent Extract	Smooth Tail Fin	Purgovent Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	ME - M	5	---
Libra, the Long-Lived	Purgovent	Piscinoid	Oblivia	308W	20	421	271933	484	146	419	137	430	62	5/5/-20/5/-45/-20		Large Purgovent Liver	Strong Purgovent Extract	Smooth Tail Fin	Purgovent Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	ME - M	5	---	Y
Killer Duoguill	Duoguill	Piscinoid	Oblivia	317(lo),320	41~50	767~1058	339261~410508	963~1248	249~288	1086~1408	243~282	988~1280	123~157	0/-50/-25/0/10/-25		Duoguill Broth	Blue Electrical Tentacle	Fine Duoguill Fishmeal	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	---	---
Thunder Duoguill	Duoguill	Piscinoid	Oblivia	311(lo),313W	21~30	302~497	122144~208063	444~655	174~210	501~739	168~204	456~672	57~89	0/-50/-25/0/10/-25		Duoguill Broth	Black Electrical Tentacle	Fine Duoguill Fishmeal	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	---	---
Electro Duoguill	Duoguill	Piscinoid	Oblivia	320	41~50	358~494	70566~85385	722~936	249~288	814~1056	243~282	741~960	123~157	0/-50/-25/0/10/-25		Duoguill Broth	Black Electrical Tentacle	Fine Duoguill Fishmeal	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	---	---
Valeriano, the Rolling Thunder	Duoguill	Piscinoid	Oblivia	313W (EM Storm)	26	616	391144	589	196	665	190	604	72	5/-45/-20/5/100/-20		Duoguill Broth	Black Electrical Tentacle	Fine Duoguill Fishmeal	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	---	---	Y
Bolt Duoguill	Duoguill	Piscinoid	Oblivia	308W	11~20	162~281	54211~115365	228~399	150~171	257~451	144~165	234~410	36~55	0/-50/-25/0/10/-25		Duoguill Broth	Blue Electrical Tentacle	Fine Duoguill Fishmeal	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	---	---
Quick Aetrygon	Aetrygon	Piscinoid	Oblivia	309SE	11~20	48~83	8174~17396	128~225	115~132	115~202	120~138	128~225	38~58	0/0/-25/0/-50/-25		Light-Speed Jet Fin	Beryl Aetrygon Horn	Fresh Fish Meat	Rotten Meat	---	---	---		〇	---	---	---
Fleet Aetrygon	Aetrygon	Piscinoid	Oblivia	309E,312SE,313(lo),319,320	21~30	90~147	18418~31374	250~369	134~161	225~332	140~170	250~369	60~93	0/0/-25/0/-50/-25		Light-Speed Jet Fin	Beryl Aetrygon Horn	Fresh Fish Meat	Rotten Meat	---	---	---		〇	---	---	---
Vilem, the Gold-Scaled	Aetrygon	Piscinoid	Oblivia	321N	45	398	125818	644	213	579	225	644	150	5/5/-20/5/-45/-20		Light-Speed Jet Fin	Beryl Aetrygon Horn	Fresh Fish Meat	Rotten Meat	---	---	---		〇	---	---	---	Y
Ocean Balaena	Balaena	Piscinoid	Oblivia	305N,Isle(E of 319)	51~60	2000~2574	1604386~1877505	3552~4428	213~245	3849~4797	239~275	2961~3690	154~190	0/0/-25/0/-50/-25		Developed Balaena Fat	Lucky Rainbow Whisker	Big Balaena Sand Bag	Giant Cavity	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	1	---
Napopon Incarnate	Ceto	Piscinoid	Oblivia	The Divine Nopopon	56	1462	1054092	2917	297	2692	297	2244	156	0/0/-25/0/-50/-25		---	---	---	---	---	---	---		---	---	---	---
Elaine, the Lunar Eclipse	Ceto	Piscinoid	Oblivia	[19:00~5:00]: 316	55	2133	2330730	2989	307	2759	307	2299	160	5/5/-20/5/-45/-20		Ceto Roe	Unlucky Black Whisker	Gold Ceto Membrane	Large Saw Tooth	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	---	---	Y
Gadaf, the Pulverizer	Marnuck	Humanoid	Oblivia	Ant's NestN	30	166	63145	388	192	352	178	352	89	5/-20/15/5/5/5		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---	Y
Marnuck Howitzer	Marnuck	Humanoid	Oblivia	ScablandFort	41~50	170~235	50350~60924	494~640	208~240	543~704	213~246	494~640	123~157	0/-25/10/0/0/0		Combat Boost Meds	Fine White Belt	Broken Buckle	---	---	---	---		〇	---	9	---
Marnuck Vanguard	Marnuck	Humanoid	Oblivia	305,306NW,321SE,Ant's NestN,Mesa Fortress	21~30	67~110	16479~28072	250~369	152~183	228~336	140~170	228~336	55~85	0/-25/10/0/0/0		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---
Marnuck Guardian	Marnuck	Humanoid	Oblivia	309N	31~40	109~155	29274~40981	385~525	186~215	350~478	173~200	350~478	88~115	0/-25/10/0/0/0		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---
Marnuck Impact	Marnuck	Humanoid	Oblivia	ScablandFort	41~50	179~247	52612~63661	494~640	208~240	568~736	223~258	494~640	123~157	0/-25/10/0/0/0		Combat Boost Meds	Fine Red Belt	Broken Buckle	---	---	---	---		〇	---	11	---
Marnuck Converger	Marnuck	Humanoid	Oblivia	304NE,307NE,Jair Fortress	51~60	267~343	64887~75933	658~820	244~280	756~943	262~302	658~820	161~199	0/-25/10/0/0/0		Combat Boost Meds	Fine Red Belt	Broken Buckle	---	---	---	---		〇	---	11	---
Marnuck Mercenary	Marnuck	Humanoid	Oblivia	309N	31~40	115~163	30721~43005	402~549	191~220	350~478	173~200	350~478	88~115	0/-25/10/0/0/0		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---
Marnuck Shield Trooper	Marnuck	Humanoid	Oblivia	311	21~30	64~105	17294~29459	262~386	155~188	228~336	140~70	228~336	55~85	0/-25/10/0/0/0		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---
Marnuck Damager	Marnuck	Humanoid	Oblivia	ScablandFort	41~50	170~235	50350~60924	494~640	208~240	543~704	213~246	494~640	123~157	0/-25/10/0/0/0		Combat Boost Meds	Fine White Belt	Broken Buckle	---	---	---	---		〇	---	9	---
Marnuck Cutthroat	Marnuck	Humanoid	Oblivia	305N	31~40	115~163	30721~43005	402~549	191~220	350~478	173~200	350~478	88~115	0/-25/10/0/0/0		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---
Canyon Sylooth	Sylooth	Humanoid	Oblivia	316S,321,Ibra	31~40	691~979	289304~404989	910~1242	169~194	805~1099	155~80	700~956	44~57	0/-25/10/0/0/0		Sylooth Tonic Water	Black Sylooth Brace	Quality Giant Cells	Distilled Sap	White Fungal Egg	---	---		---	SA - H	12	---
Climati, the Chilling Wind	Sylooth	Humanoid	Oblivia	Central Ibra Ravine	30	994	624191	917	174	811	160	705	44	5/-20/15/5/5/5		Sylooth Tonic Water	Black Sylooth Brace	Quality Giant Cells	Distilled Sap	White Fungal Egg	---	---		---	SA - H	12	---	Y
Dadaan, the Strongest Prone	Prone	Humanoid	Oblivia	307	77	2020	795802	1369	345	1181	306	1244	48	25/-5/30/25/25/25		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		*	GG - M	---	---	Y
The Dadaan Girls	Prone	Humanoid	Oblivia	307	51~60	404~520	59242~69327	658~820	244~280	690~861	250~288	789~984	146~180	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Dadan Squad Member	Prone	Humanoid	Oblivia	summoned by Dadan at low health	51~60	404~520	67743~79275	723~902	256~294	625~779	227~261	658~820	138~171	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Ajiba Falgo	Prone	Humanoid	Oblivia	Kidnapped: Oll Valdileo	17~20	50~62	15510~18678	191~225	143~150	165~194	125~131	174~205	42~47	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	---	---	---
Mujiba Falgo	Prone	Humanoid	Oblivia	Kidnapped: Rada Valdileo	17~20	50~62	15510~18678	191~225	143~150	165~194	125~131	174~205	42~47	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	---	---	---
Vendura, the Spellbinder	Prone	Humanoid	Oblivia	[5:00~19:00]: Mesa Fortress(hi)	20	98	36752	215	150	225	152	258	52	5/-20/15/5/5/5		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---	Y
Prone Warrior	Prone	Humanoid	Oblivia	305,Mesa Fortress,Bute	11~20	36~62	8777~18678	128~225	131~150	111~194	114~131	117~205	31~47	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Vulture	Prone	Humanoid	Oblivia	309N	31~40	115~163	35129~49177	385~525	186~215	332~454	164~190	350~478	79~103	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Hawk	Prone	Humanoid	Oblivia	305,309N	31~40	115~163	35129~49177	385~525	186~215	332~454	164~190	350~478	79~103	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Barbarian	Prone	Humanoid	Oblivia	Mesa Fortress	11~20	36~62	8777~18678	128~225	131~150	111~194	114~131	117~205	31~47	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Fury	Prone	Humanoid	Oblivia	315,ScablandFort	41~50	187~259	54928~66463	543~704	218~252	469~608	192~223	494~640	106~35	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Admiral	Prone	Humanoid	Oblivia	307	51~60	267~343	67743~79275	723~902	256~294	625~779	227~261	658~820	138~171	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Condemned	Prone	Humanoid	Oblivia	Mesa Fortress	11~20	36~62	8777~18678	128~225	131~150	111~194	114~131	117~205	31~47	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Savage	Prone	Humanoid	Oblivia	307N	41~50	170~235	54928~66463	543~704	218~252	469~608	192~223	494~640	106~135	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Vix Guard	Prone	Humanoid	Oblivia	Mesa Fortress,Bute	11~20	34~59	7675~16334	117~205	125~143	122~215	126~144	140~246	33~50	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Vix Owl	Prone	Humanoid	Oblivia	312	21~30	67~110	17294~29459	228~336	145~175	239~352	147~178	273~403	52~80	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Vix Vulture	Prone	Humanoid	Oblivia	309N	31~40	115~163	30721~43005	350~478	178~205	367~501	181~210	420~573	83~109	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Vix Crow	Prone	Humanoid	Oblivia	307SE	21~30	67~110	17294~29459	228~336	145~175	239~352	147~178	273~403	52~80	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Vix Brutalizer	Prone	Humanoid	Oblivia	ScablandFort	41~50	187~259	48035~58122	494~640	208~240	518~672	213~246	592~768	112~142	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Purger	Prone	Humanoid	Oblivia	306NW,307SE,312,Ant's Nest	21~30	67~110	19775~33686	250~369	152~183	216~319	133~61	228~336	49~76	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
JS178: Jushe	Definian	Humanoid	Oblivia	Sun'celeg Rises	30	110	26651	369	175	369	170	403	93	0/-25/10/0/0/0		---	---	---	---	---	---	---		---	---	---	---
LV757: Lyvia	Definian	Humanoid	Oblivia	Fortun and Glory	39	156	37597	508	202	508	197	554	123	0/-25/10/0/0/0		---	---	---	---	---	---	---		---	---	---	---
Zo Zazhi	Wrothian	Humanoid	Oblivia	A Dish Served Cold	39	156	37597	438	212	438	206	462	126	0/-25/10/0/0/0		---	---	---	---	---	---	---					
Almandal	Almandal	Mechanoid	Oblivia	Chapter 7	28	1270	121060	405	178	374	164	343	79	35/-10/35/35/-5/-30		---	---	---	---	---	---	---		---	---	---	---
Dagger Puge	Puge	Mechanoid	Oblivia	305,Mesa Fortress	11~20	38~66	7675~16334	117~205	131~150	117~205	126~144	117~205	35~55	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Reinforced Thruster	Energy Tube	Standard Crank	---	---		---	---	13	---
Sword Puge	Puge	Mechanoid	Oblivia	321SE,Wayne,Ant's Nest	21~30	71~116	17294~29459	228~336	152~183	228~336	147~178	228~336	57~89	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Reinforced Thruster	Energy Tube	Standard Crank	---	---		---	---	13	---
Booster Puge	Puge	Mechanoid	Oblivia	309N	31~40	121~171	30721~43005	350~478	186~215	350~478	181~210	350~478	92~120	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Reinforced Thruster	Energy Tube	Standard Crank	---	---		---	---	13	---
Lance Puge	Puge	Mechanoid	Oblivia	307N	41~50	179~247	48035~58122	494~640	218~252	494~640	213~246	494~640	123~157	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Reinforced Thruster	Energy Tube	Standard Crank	---	---		---	---	13	---
Sword Pugilith	Pugilith	Mechanoid	Oblivia	305,306NW,321SE,Mesa Fortress	21~30	165~270	27870~47473	358~528	137~166	374~553	140~170	340~502	49~76	30/-25/10/10/-25/-50		Pugilith Lamp	Quality Fuse	Used Cylinder	Genuine Crank	Dual Boards	Stripped Plating	---		---	---	1	---
Master Pugilith	Pugilith	Mechanoid	Oblivia	304NE	51~60	594~764	95471~111723	1034~1290	231~266	1084~1352	239~275	985~1229	138~171	30/-25/10/10/-25/-50		Pugilith Lamp	Quality Fuse	Used Cylinder	Genuine Crank	Dual Boards	Stripped Plating	---		---	---	1	---
Raider Pugilith	Pugilith	Mechanoid	Oblivia	303N	22	264	66246	395	146	414	149	377	53	35/-20/15/15/-20/-45		Pugilith Lamp	Quality Fuse	Used Cylinder	Genuine Crank	Dual Boards	Stripped Plating	---		---	---	1	---
Spear Pugilith	Pugilith	Mechanoid	Oblivia	309N,322,ScablandFort	41~50	417~576	77410~93667	776~1007	197~228	813~1054	203~235	740~959	106~135	30/-25/10/10/-25/-50		Pugilith Lamp	Quality Fuse	Used Cylinder	Genuine Crank	Dual Boards	Stripped Plating	---		---	---	1	---
MG062: Megisia	Galdr	Mechanoid	Oblivia	Slovity's Rampage	35	376	62995	624	194	745	217	609	90	30/-25/10/10/-25/-50		---	---	---	---	---	---	---		---	---	---	---
Revolver Eagle Galdr	Galdr	Mechanoid	Oblivia	Jair Fortress, up ramp from landmark	51~60	679~874	103740~121400	1135~1414	268~308	1036~1291	250~288	987~1230	123~152	30/-25/10/10/-25/-50		O.X. Unit	Galdr Head	Reinforced Plug	Multi-Wire	All-Purpose Plug	---	---		---	---	3, *	SA - M
Vendura's Galdr	Galdr	Mechanoid	Oblivia	[19:00~5:00]: 307NW	50	988	228972	1082	258	1184	289	1008	141	100/-20/15/15/-20/-45		E.M. Unit	Galdr Head	Reinforced Plug	Multi-Wire	All-Purpose Plug	---	---		---	---	17, *	SA - M	Y
Drone King Quo	Quo	Mechanoid	Oblivia	Jair Fortress	51~60	343~442	73056~85493	651~811	244~280	669~833	239~275	868~1082	161~199	30/-25/10/10/-25/-50		Black Gyrocompass	Reinforced Plunger	Quo Pod	Upgraded Jammer	Standard Jammer	---	---		---	---	4	SA - M
Chromium Oc-serv	Oc-serv	Mechanoid	Oblivia	315,322	41~50	398~549	80776~97740	740~959	187~216	813~1054	203~235	740~959	129~165	30/-25/10/10/-25/-50		Oc-serv Eastern Crest	Elemental Cluster	Oc-serv Hand	Elemental Fragment	Upgraded Coil	Standard Coil	---		---	---	10	---
Ro-darm, the Demon Claw	Oc-serv	Mechanoid	Oblivia	308S	38	521	151841	704	188	774	203	704	125	35/-20/15/15/-20/-45		Oc-serv Eastern Crest	Elemental Cluster	Oc-serv Hand	Elemental Fragment	Upgraded Coil	Standard Coil	---		---	---	10	---	Y
Palace Queen Qmoeva	Qmoeva	Mechanoid	Oblivia	ScablandFort	41~50	437~604	77383~93634	741~960	208~240	741~960	203~235	741~960	120~153	30/-25/10/10/-25/-50		Bloodied Face	Qmoevan Capacitor	Genuine Frame	Dual Boards	Quality Crank	---	---		---	---	9, *	SA - L, GG - L
Rebel Kaizer Qmoeva	Qmoeva	Mechanoid	Oblivia	304NE,322	51~60	622~801	95438~111685	1036~1291	244~280	1036~1291	239~275	987~1230	161~199	30/-25/10/10/-25/-50		Bloodied Face	Qmoevan Capacitor	Reinforced Frame	Dual Boards	Quality Crank	---	---		---	---	20, *	SA - L, GG - L
Nu-rhor, the Dark Deity	Xe-dom	Mechanoid	Oblivia	322(hi)	65	3240	1247459	2288	269	2288	294	2288	163	35/-20/15/15/-20/-45		Xe-dom Jet-Black Crest	Advanced Core	Xe-dom Hand	Ancient Armor	Octopus Board	Quality Core	---		---	---	15	ME - H	Y
Strike Barrager Zig	Zig	Mechanoid	Oblivia	309N(hi)	31~40	215~305	51661~72319	0	0	656~896	224~260	0	44~57	30/-25/10/10/-25/-50		Ziggian Long Antenna	Standard Shaft	Upgraded Sensor Part	Standard Sensor Part	---	---	---		---	---	16	---
Revolver Gunner Zig	Zig	Mechanoid	Oblivia	307NW	41~50	318~439	80776~97740	0	0	926~1200	263~305	0	59~75	30/-25/10/10/-25/-50		Ziggian Long Antenna	Standard Shaft	Upgraded Sensor Part	Standard Sensor Part	---	---	---		---	---	16	---
Mortar Launcher Zig	Zig	Mechanoid	Oblivia	Jair Fortress	51~60	452~582	99622~116581	0	0	1233~1537	310~357	0	77~95	30/-25/10/10/-25/-50		Ziggian Long Antenna	Standard Shaft	Upgraded Sensor Part	Standard Sensor Part	---	---	---		---	---	16	---
Nickel Fal-swo	Fal-swo	Mechanoid	Oblivia	311,310(lo),316	31~40	269~381	50559~70776	590~806	160~184	537~734	164~190	525~717	96~126	30/-25/10/10/-25/-50		Fal-swo Solar Crest	Ocher Stabilizer	Genuine Plate	Advanced Jet	Reinforced Jet	---	---		---	---	8	SA - H, ME - H
Zirconium Fal-swo	Fal-swo	Mechanoid	Oblivia	306NE(hi),Jair Fortress	51~60	566~728	97497~114094	1110~1383	219~252	1011~1260	227~261	987~1230	169~209	30/-25/10/10/-25/-50		Fal-swo Solar Crest	Ocher Stabilizer	Genuine Plate	Advanced Jet	Reinforced Jet	---	---		---	---	8	SA - H, ME - H
No-dhor, the Shadowcaster	Fal-swo	Mechanoid	Oblivia	316	30	386	109084	595	165	541	169	529	98	35/-20/15/15/-20/-45		Fal-swo Solar Crest	Ocher Stabilizer	Genuine Plate	Advanced Jet	Reinforced Jet	---	---		---	---	8	SA - H, ME - H	Y
Grenade Pizza F	Human-Made Skell	Mechanoid	Oblivia	Murder Most Foul	35	314	60495	609	190	609	185	609	100	30/-25/10/10/-25/-50		---	---	---	---	---	---	---																						
Servant Caro	Caro	Theroid	Sylvalum	Badr Stronghold,Den of the Dead	41~50	298~412	64621~78192	583~756	213~246	489~633	187~217	543~704	123~157	0/0/-25/-50/0/0		Pure White Caro Tusk	Caro Tail Light	Shiny Copper Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---
Sand Caro	Caro	Theroid	Sylvalum	412E,416,418	31~40	202~286	41329~57855	413~564	182~210	346~473	160~185	385~525	92~120	0/0/-25/-50/0/0		Pure White Caro Tusk	Caro Tail Light	Shiny Silver Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---
Prison Caro	Caro	Theroid	Sylvalum	416,418W	41~50	298~412	64621~78192	583~756	213~246	489~633	187~217	543~704	123~157	0/0/-25/-50/0/0		Pure White Caro Tusk	Caro Tail Light	Shiny Silver Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---
Andrei, the Cunning	Caro	Theroid	Sylvalum	418SW	40	598	162718	808	220	676	194	752	126	5/5/-20/-45/5/5		Pure White Caro Tusk	Caro Tail Light	Shiny Black Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---	Y
Little Caro	Caro	Theroid	Sylvalum	416,418	31~40	202~286	41329~57855	413~564	182~210	346~473	160~185	385~525	92~120	0/0/-25/-50/0/0		Pure White Caro Tusk	Caro Tail Light	Shiny Black Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---
Storm Caro	Caro	Theroid	Sylvalum	[19:00~5:00]: 415	41~50	298~412	64621~78192	583~756	213~246	489~633	187~217	543~704	123~157	0/0/-25/-50/0/0		Pure White Caro Tusk	Caro Tail Light	Shiny Copper Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---
Seeker Vigent	Vigent	Theroid	Sylvalum	404,410SE	51~60	1333~1716	518037~606223	1579~1968	256~294	1283~1599	227~261	1316~1640	154~190	0/0/-25/-50/0/0		Vigent Blood	Blue Vigent Rock Scalp	Quality Vigent Claw	Warrior Race's Seal	Rugged Skin	---	---		---	GG - H	17	---
